alpha,h,success
0.0,0.05,1
0.05,0.07500000000000001,1
0.125,0.11250000000000002,1
0.23750000000000002,0.05625000000000001,0
0.18125000000000002,0.028125000000000004,0
0.153125,0.0421875,1
0.1953125,0.06328125000000001,1
0.25859375,0.09492187500000002,1
0.353515625,0.04746093750000001,0
0.30605468750000003,0.07119140625,1
0.37724609375000007,0.10678710937500001,1
0.4840332031250001,0.053393554687500004,0
0.4306396484375001,0.026696777343750002,0
0.40394287109375004,0.013348388671875001,0
0.39059448242187506,0.0066741943359375005,0
0.3839202880859376,0.0033370971679687503,0
0.3805831909179688,0.005005645751953125,1
0.38558883666992194,0.007508468627929688,1
0.39309730529785164,0.011262702941894532,1
0.40436000823974616,0.016894054412841798,1
0.42125406265258797,0.008447027206420899,0
0.41280703544616704,0.012670540809631349,1
0.4254775762557984,0.0063352704048156745,0
0.4191423058509827,0.0031676352024078373,0
0.41597467064857485,0.004751452803611756,1
0.42072612345218663,0.002375726401805878,0
0.41835039705038074,0.0035635896027088167,1
0.42191398665308955,0.0053453844040632255,1
0.4272593710571528,0.0026726922020316127,0
0.42458667885512114,0.004009038303047419,1
0.4285957171581686,0.006013557454571128,1
0.4346092746127397,0.003006778727285564,0
0.43160249588545413,0.004510168090928347,1
0.4361126639763825,0.00676525213639252,1
0.442877916112775,0.010147878204588779,1
0.4530257943173638,0.0050739391022943895,0
0.44795185521506936,0.007610908653441584,1
0.45556276386851097,0.003805454326720792,0
0.45175730954179016,0.005708181490081188,1
0.45746549103187134,0.002854090745040594,0
0.4546114002868308,0.001427045372520297,0
0.45318435491431047,0.0007135226862601485,0
0.4524708322280503,0.0010702840293902228,1
0.45354111625744054,0.0016054260440853342,1
0.45514654230152585,0.002408139066128001,1
0.45755468136765387,0.003612208599192002,1
0.46116688996684585,0.001806104299596001,0
0.45936078566724986,0.0009030521497980005,0
0.4584577335174519,0.0013545782246970008,1
0.45981231174214887,0.0006772891123485004,0
0.4591350226298004,0.0010159336685227505,1
0.46015095629832314,0.0015239005027841259,1
0.46167485680110726,0.002285850754176189,1
0.46396070755528346,0.003428776131264283,1
0.46738948368654776,0.0017143880656321415,0
0.4656750956209156,0.0025715820984482125,1
0.4682466777193638,0.0012857910492241062,0
0.4669608866701397,0.0006428955246120531,0
0.46631799114552763,0.0009643432869180797,1
0.4672823344324457,0.0014465149303771194,1
0.46872884936282283,0.002169772395565679,1
0.47089862175838854,0.0032546585933485184,1
0.47415328035173704,0.004881987890022778,1
0.4790352682417598,0.007322981835034166,1
0.48635825007679395,0.010984472752551249,1
0.4973427228293452,0.016476709128826872,1
0.5138194319581721,0.024715063693240308,1
0.5385344956514124,0.03707259553986046,1
0.5756070911912728,0.05560889330979069,1
0.6312159845010635,0.08341333996468604,1
0.7146293244657496,0.04170666998234302,0
0.6729226544834066,0.02085333499117151,0
0.652069319492235,0.010426667495585755,0
0.6416426519966493,0.015640001243378634,1
0.6572826532400279,0.02346000186506795,1
0.6807426551050958,0.03519000279760193,1
0.7159326579026977,0.05278500419640289,1
0.7687176620991005,0.026392502098201445,0
0.7423251600008991,0.013196251049100723,0
0.7291289089517984,0.006598125524550361,0
0.7225307834272481,0.009897188286825542,1
0.7324279717140736,0.004948594143412771,0
0.7274793775706608,0.0024742970717063855,0
0.7250050804989545,0.003711445607559578,1
0.728716526106514,0.005567168411339367,1
0.7342836945178535,0.008350752617009051,1
0.7426344471348625,0.0041753763085045255,0
0.738459070826358,0.006263064462756788,1
0.7447221352891148,0.009394596694135181,1
0.75411673198325,0.004697298347067591,0
0.7494194336361824,0.007045947520601386,1
0.7564653811567837,0.003522973760300693,0
0.752942407396483,0.00528446064045104,1
0.7582268680369341,0.00792669096067656,1
0.7661535589976106,0.011890036441014839,1
0.7780435954386254,0.0059450182205074194,0
0.772098577218118,0.0029725091102537097,0
0.7691260681078643,0.004458763665380564,1
0.7735848317732449,0.006688145498070846,1
0.7802729772713157,0.003344072749035423,0
0.7769289045222804,0.0016720363745177116,0
0.7752568681477626,0.002508054561776567,1
0.7777649227095392,0.0037620818426648507,1
0.781527004552204,0.0018810409213324253,0
0.7796459636308717,0.002821561381998638,1
0.7824675250128703,0.004232342072997957,1
0.7866998670858683,0.006348513109496935,1
0.7930483801953652,0.0031742565547484675,0
0.7898741236406167,0.0015871282773742338,0
0.7882869953632425,0.0023806924160613505,1
0.7906676877793039,0.0011903462080306753,0
0.7894773415712733,0.001785519312046013,1
0.7912628608833192,0.002678278968069019,1
0.7939411398513883,0.004017418452103528,1
0.7979585583034918,0.002008709226051764,0
0.79594984907744,0.003013063839077646,1
0.7989629129165177,0.001506531919538823,0
0.7974563809969789,0.0007532659597694115,0
0.7967031150372095,0.0003766329798847058,0
0.7963264820573247,0.0005649494698270587,1
0.7968914315271518,0.000847424204740588,1
0.7977388557318924,0.001271136307110882,1
0.7990099920390032,0.000635568153555441,0
0.7983744238854479,0.0009533522303331616,1
0.7993277761157811,0.0014300283454997424,1
0.8007578044612809,0.0007150141727498712,0
0.800042790288531,0.0003575070863749356,0
0.799685283202156,0.0005362606295624034,1
0.8002215438317184,0.0002681303147812017,0
0.7999534135169373,0.0004021954721718026,1
0.8003556089891091,0.0006032932082577038,1
0.8009589021973668,0.0009049398123865557,1
0.8018638420097534,0.0013574097185798336,1
0.8032212517283331,0.0020361145778697506,1
0.8052573663062029,0.003054171866804626,1
0.8083115381730076,0.001527085933402313,0
0.8067844522396053,0.0022906289001034695,1
0.8090750811397087,0.0011453144500517347,0
0.807929766689657,0.0005726572250258674,0
0.8073571094646311,0.0002863286125129337,0
0.8070707808521183,0.0004294929187694005,1
0.8075002737708876,0.0006442393781541008,1
